"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"MasterTax","Headquartered in Tempe, Arizona, MasterTax is a developer of payroll tax management software that is designed for employers, third-party providers and PEOs to help them schedule, remit payments, balance and file multi-jurisdictional payroll taxes.
The suite of MasterTax Software products provides a fully-integrated, customized solution for clients who are looking to quickly, easily and accurately process payroll taxes. Our software can help clients of all sizes, including small employers, large multi-national corporations, PEOs, and small and large service providers eliminate penalties and interest, maximize efficiencies, and regain control of payroll tax filing. And with our industry-leading client support, you are never more than a phone call or email away from a subject matter expert.
Since its introduction in 1997, MasterTax Software has been one of the fastest growing and most comprehensive payroll tax software systems in the industry. Our software is continually enhanced and upgraded to help ensure the highest standards of quality and compliance.","Software Development","51-200 employees","Public Company","Tempe, Arizona","United States","mastertax.com","https://www.linkedin.com/company/mastertax-llc"
,"MMIT (Managed Markets Insight & Technology)","For nearly two decades MMIT has been solely focused on solving the “what and why” of drug coverage, and has been a trusted, go-to-market partner to pharma companies, payers and providers. We believe that patients who need lifesaving treatments shouldn’t face delays because accessing drugs can be confusing. As the leading provider of market access data, analytics and insights, our expert teams of clinicians, data specialists and market researchers provide clarity and confidence so that our clients can make better decisions.
 
Divisions of MMIT include AIS Health, creator of the Directory of Health Plans and leading healthcare publications; Zitter Health Insights, a preeminent provider of market access insights and solutions for specialty drugs; RJ Health, the market leader in pricing and coding solutions for infusion drugs covered under the medical benefit; and The Dedham Group, a U.S. market access oncology and specialty therapeutics consultancy offering research, data analytics and strategy formulation services to the life sciences industry.","Information Services","201-500 employees","Privately Held","Yardley, Pennsylvania","United States","mmitnetwork.com","https://www.linkedin.com/company/mmit-managed-markets-insight-&-technology-"
,"Bridge","Bridge is an enterprise patient portal and patient engagement solution that provides a superior user experience for healthcare organizations and their patients through a ""single pane of glass."" It is ideal for organizations seeking to replace their existing EHR system's patient portal, connect disparate EHR environments with a single patient portal, and/or consolidate costly patient engagement tools with a single patient engagement solution. Bridge truly engages patients with automated electronic communication, and meaningful, multi-platform access to health, financial, and appointment information. With Bridge’s all-in-one patient engagement solution, healthcare organizations can improve patient-physician collaboration, care outcomes, and business profitability.

In an industry where the term “patient engagement” is used to define everything from simple, piecemeal patient communication solutions to antiquated patient portals, Bridge is setting a new standard for patient engagement solutions. Offering a single, mobile-ready solution for secure SMS/email/push notifications, self-scheduling, health information access, patient-provider messaging, and bill pay. Bridge is available as a client-branded HTML-based web application as well as a mobile app, available for iOS and Android. With Bridge's fully-documented, and free API, customers can easily develop their own interfaces, add-on features and run advanced reports. Month-to-month contracting with scaled pricing based on actual patient registration ensures Bridge and its customers’ goals are aligned towards a highly engaged patient population.

Founded in 2014 and headquartered in Dallas, TX, Bridge is an employee-owned business with installations in over 100 healthcare organizations nationwide.","Hospitals and Health Care","11-50 employees","Privately Held","Dallas, Texas","United States","bridgeinteract.io","https://www.linkedin.com/company/bridgepatientportal"
,"Medical Advantage","With over 25 years of experience collaborating with practices, health plans, and private equity professionals, we have developed customized, actionable solutions to improve quality, better manage costs and implement sustainable growth. Our services, including EHR Optimization, Practice Marketing, Data Analytics and more, empower organizations to drive better patient outcomes, enhance practice performance, and increase value-based care revenue. Learn more about our services by visiting medicaladvantage.com or by calling 800.594.6115.","Hospitals and Health Care","51-200 employees","Privately Held","Novi, Michigan","United States","medicaladvantage.com","https://www.linkedin.com/company/medicaladvantage"
,"ZOLL Data Systems","ZOLL provides data systems that deliver more. Our software and data solutions empower EMS, fire, and healthcare financial industries to deliver better patient outcomes, operational efficiencies, and greater revenue capture. We leverage decades of clinical expertise, relentless customer focus, and a powerful, cloud-based platform to help tackle unique challenges from EMS dispatch to facility discharge, as well as RCM optimization and healthcare data interoperability. Our business exists to help save more lives through data-driven innovation, opening new pathways for our customers to achieve the highest levels of care, collaboration, and efficiency. 

Based in beautiful Colorado, the data systems team is part of ZOLL Medical Corporation, an Asahi Kasei Group company.  

For current career opportunities, visit https://www.zolldata.com/careers 

For more information on ZOLL, visit our corporate LinkedIn page: https://www.linkedin.com/company/13727/","Software Development","201-500 employees","Privately Held","Broomfield, CO","United States","zolldata.com","https://www.linkedin.com/company/zolldata"
,"Olah Healthcare Technology","Olah Healthcare Technology revolutionizes archiving, simplifying data retention for healthcare systems. Since 2003, we've helped over 350 healthcare organizations secure their clinical and financial data. We remove the problems associated with archiving including cost, time, and decision making.

Our cloud-native Enterprise Archiving Solution (EAS) accelerates the process, minimizing time, cost, and resources needed for system decommissioning and archiving. Say goodbye to unnecessary maintenance fees and reduce cybersecurity risks swiftly. As KLAS, Gartner, Black Book and other agencies will attest - Olah is one of the best choices for addressing your entire pile of applications, the legacy debt that has accumulated over years of technology transitions.

Discover a faster, more affordable, and secure archiving solution by connecting with us today.","IT System Data Services","11-50 employees","Privately Held","Columbus, OH","United States","olahht.com","https://www.linkedin.com/company/olah-healthcare"
,"Benchmark Solutions","Benchmark Solutions operates as healthcare practices’ one-stop management solution shop. Benchmark Solutions' services come together to form a comprehensive electronic toolset that can streamline daily internal operations and increase revenue earned all while improving the overall patient experience. Each piece of the Benchmark Solution's suite is modular and cloud-based, offering maximum interoperability and ease of access. When used together, Benchmark Solutions can create a powerhouse of offerings that improve patient outcomes and supercharge practice efficiency.","IT Services and IT Consulting","51-200 employees","Public Company","Forest, VA","United States","benchmarksystems.com","https://www.linkedin.com/company/benchmark-systems"
,"Acuity Eyecare Group","AEG Vision (formerly Acuity Eyecare Group) empowers doctors to deliver world-class patient care and service by leveraging eyecare industry best practices, innovation, and collaboration.

As a practice acquisition and operational support team, AEG supports and empowers eyecare professionals to grow their practices while elevating focus on the most valuable part of the business—delivering excellent eyecare.","Hospitals and Health Care","1,001-5,000 employees","Privately Held","Dallas, Texas","United States","aegvision.com","https://www.linkedin.com/company/acuity-eyecare-group"
,"HealthRx","Enabling science through software

HealthRx software keeps employees, clinicians and researchers healthy, safe and productive.  Research institutions across government, academia and healthcare depend on HealthRx to support occupational health, workplace safety and research portfolio management.
 
The research institutions we serve are unique.  Their talent, projects, and occupational hazards are different than those found in other industries.  Their work drives the health and prosperity of people around the world.  HealthRx creates tools that enable employees at these innovative organizations to do great work, so that they can make lives better.  
 
HealthRx is an operating company of Banyan Software, the fastest growing software company in the Inc 5000.","Software Development","11-50 employees","Privately Held","Fairfax, Virginia","United States","healthrx.com","https://www.linkedin.com/company/healthrx-corporation"
,"KoKo PFT, LLC","KoKo PFT, LLC is a global respiratory information systems software developer and medical device manufacturing company. The exclusive provider of Iris, the world’s first Integrated Respiratory Information System; and KoKo pulmonary function testing, diagnostic spirometry, and respiratory home monitoring devices.

Our expert, scalable software solutions and sophisticated data collection products empower healthcare providers to advance respiratory diagnostic processes and improve patient outcomes while meeting the demanding clinical and business objectives of thought leaders in respiratory care.","Medical Equipment Manufacturing","11-50 employees","Privately Held","Atlanta, Georgia","United States","kokopft.com","https://www.linkedin.com/company/kokopft"
,"S&P Consultants, Inc.","S&P Consultants, a Nordic global company, is a leading independent provider of healthcare information technology consulting. We have a premium reputation in helping hospitals and healthcare systems put Oracle Health solutions to work in the real world.

In 2022 we received the highest industry ranking: #1 Best in KLAS for Technical Services — and we were cited as ""the market leader in Cerner implementations"" in a previous KLAS report. We fill critical gaps between vendor and in-house organizations—providing a candid and objective perspective, informed by over 25 years of experience. We know how to engage the full spectrum of stakeholders from the boardroom to the lab—to the bedside, in order to achieve optimal results and value. The success stories of our clients are driven by the adoption of the S&P InTegrity implementation framework, which provides strategic execution know-how by transcribing real-world insights, processes, and controls to provide for an agile solution to address your project’s specific complexities and risks.
 

Core Values
INTEGRITY 
We are an honest, loyal and trustworthy partner, focused on providing unbiased feedback and always doing the right thing.

INNOVATION 
Our team of problem-solvers are proud to be known as experts with open minds and a flexible approach.

CLIENT-FOCUSED
Our practices are centered on making decisions that keep our clients’ priorities and values in mind, helping them serve their patients better.

QUALITY OUTCOMES
Every member of our team is willing, able and driven to go the extra mile to guarantee client satisfaction and deliver promised results.


S&P Consultants, Inc. is not sponsored by and/or affiliated with Cerner Corporation. Cerner Classic is a trademark and Cerner Millennium is a registered trademark(s) of Cerner Corporation and/or its subsidiaries.","Information Technology and Services","51-200 employees","Privately Held","Braintree, MA","United States","spconinc.com","https://www.linkedin.com/company/s&p-consultants"
,"1st Call Triage","Telephone triage service that partners with physician practices across the US to provide healthcare advice to patients 24/7, avoiding costly and unnecessary after hours visits. Specially trained RNs deliver safe and accurate care to both adult and pediatric patients with every call. 
In addition, 1st call triage partners with hospital organizations to reduce readmission rates and improve revenue.","Hospitals and Health Care","2-10 employees","Partnership","Starr, SC","United States","1stcalltriage.com","https://www.linkedin.com/company/1st-call-triage"
,"North American Insurance Services","North American Insurance Services LLC, previously known as NALP, is a national independent insurance marketing organization specializing in individual Health Insurance, Medicare, Supplemental Health, Life Insurance, Annuities and Long-Term Care.","Financial Services","11-50 employees","Partnership","Frisco, TX","United States","na-insurance.com","https://www.linkedin.com/company/north-american-insurance-services"
,"Certitrek Group","Representing high quality and industry-recognized certification companies, worldwide.

Certitrek raises the bar and sets a new standard for a certification company. From healthcare to IT to financial services, the certification companies we represent and the designation they offer are widely accepted by employers in the industries they serve. They are often the path and entryway to a new career, the means to a salary increase and above all, an accurate measure of a candidate’s knowledge and skill-set. 

We attest that any person who holds one of our designations possesses the skills and knowledge needed to perform a particular job or task. That same person also meets an accepted benchmark of knowledge as established by their industry.","Education Administration Programs","11-50 employees","Privately Held","Durham, North Carolina","United States","certitrek.com","https://www.linkedin.com/company/certitrek"
,"MEDARCUS","Medarcus is the data management company for the healthcare enterprise, redefining how organizations solve persistent data problems related to patient identity, security, and matching challenges with solutions that secure data and without workflow disruption. The SurePatient data platform is EHR agnostic, sits well within the entity and is interoperable. Our records matching, authentication, and access management solutions enable organizations to fully manage and secure all enterprise and third-party digital data sources.","Data Security Software Products","2-10 employees","Privately Held","San Francisco, California","United States","medarcus.com","https://www.linkedin.com/company/medarcus"
,"Bioscience Pro","Bioscience Pro is a Software Engineering company designed to help Medical Device Manufacturers and startups with their Software Quality Assurance for regulatory compliance and FDA submissions. Bioscience Pro is owned and operated by software engineers with expertise in Medical Device software development, software quality, software V&V, software documentation per ISO 13485, IEC 62304, and IEEE standards. Bioscience Pro provides the following capabilities:
- Software Quality Management per IEC 62304. 
- Software Risk Analysis per ISO 14971.
- Software Documentation and Remediation
- Software V&V Strategy and Planning
- Cybersecurity Risk Management Process development, Cybersecurity Risk Management Planning, and Documentation
- OTS Validation
- Validation of Automated Process Equipment and QS Software
- AI/ML Process development per FDA's Action Plan
PRESS RELEASE 2022! Bioscience Pro is pleased to announce the 2022 release of our much anticipated proprietary early-stage medical device vetting investor service, SmartMed PRO. Only SmartMed PRO thoroughly investigates (QMS) Quality Management System compliance with 21 CFR 820 and ISO 13485:2016 to determine if the startup model has designed and implemented vital processes at the infancy of development. Our unique in-depth 50-point analysis provides a clear and concise evaluation to determine the viability of the medical device startup. SmartMed PRO is a service offered exclusively through Bioscience Pro Software Engineers, a company with 20 years of medical device regulatory experience.
“I developed SmartMed PRO as a response to 20 years of real-life medical device software engineering experience. Venture Capital organizations want to acquire disruptive technology for early-stage startups. Seed money investors risk millions based on this valued asset technology. Unfortunately, a long and drawn out FDA clearance path diminishes returns, increases costs, and leaves the door open for competitors.”
Gokhan Ozalp, CEO","Software Development","2-10 employees","Privately Held","Detroit","United States","biosciencepro.com","https://www.linkedin.com/company/biosciencepro"
,"Engage Technologies Group","Engage Technologies Group offers next-generation, cloud-based technologies that utilize short-form, story-based video content to educate, inform, and engage with patients at their height of interest and time of need.","Technology, Information and Media","51-200 employees","Privately Held","Meridian, Idaho","United States","engagetg.com","https://www.linkedin.com/company/engagetg"
,"Obviously AI","At Obviously AI, our vision is to turn every company into an AI company. To do this, we've built the fastest, most precise no-code AI tool ever. We're backed by UTEC, TMV, B Capital Group, Sequoia Scouts, Facebook & leading silicon valley investors and used by hundreds of businesses worldwide.","Software Development","11-50 employees","Privately Held","San Francisco, California","United States","obviously.ai","https://www.linkedin.com/company/obviously-ai"
,"Med One Group","Med One Group serves the healthcare industry with equipment financing, medical equipment rental and sales, and biomedical services. We understand the equipment we provide helps patients in hospitals across the country every day. We are proud to help hospitals acquire medical equipment as they work to provide positive patient outcomes. 

Our large in-house inventory includes infusion pumps, ventilators, patient monitors, beds, and more. We guarantee equipment that’s clean, patient ready and serviced by our certified biomedical staff.","Financial Services","51-200 employees","Privately Held","Sandy, UT","United States","medonegroup.com","https://www.linkedin.com/company/med-one-group"
,"HelloHero","Partnering with Schools Districts to establish on-campus clinics delivery integrated multidisciplinary care, offering comprehensive and medication management through individualized, group, and interventions.","Hospitals and Health Care","51-200 employees","Privately Held","New York, New York","United States","hellohero.com","https://www.linkedin.com/company/helloherollc"
,"Taiki (YC W24)","Universal API for tax documents. We auto-extract tax forms from payroll and financial providers.

We're also the creators of Integuru.ai — the first AI agent to build low-latency integrations with platforms lacking official APIs.","Technology, Information and Internet","2-10 employees","Privately Held","San Francisco, CA","United States","taiki.ai","https://www.linkedin.com/company/taikiai"
,"MIM Software","MIM Software provides practical imaging solutions for Radiation Oncology, Radiology, Nuclear Medicine, Theranostics, Interventional Radiology, and Urology. 

MIM offers solutions for computer workstations, as well as mobile and cloud-based platforms. MIM sells its products globally to imaging centers, hospitals, specialty clinics, research organizations, and pharmaceutical companies.","Software Development","201-500 employees","Privately Held","Cleveland, OH","United States","mimsoftware.com","https://www.linkedin.com/company/mim-software-inc."
,"EpiphanyRx","EpiphanyRx is a best-in-class fully bundled in-house solution for employers
under 3,000 lives. Founded in 2016 when a team of former pharmacy benefit
management (PBM) executives developed a new solution to reduce rising
prescription costs, our business model eliminates conflicts of interest like
spread pricing and rebate retention, and instead focuses on providing full
transparency and lowest net cost solutions for employers.
As a Navitus company, EpiphanyRx now offers over twenty years of experience
serving the industry with a 100% pass-through model. EpiphanyRx is a true
PBM partner, managing every dollar as if it were our own.","Hospitals and Health Care","11-50 employees","Privately Held","Madison, Wisconsin","United States","epiphanyrx.com","https://www.linkedin.com/company/epiphanyrx-llc"
,"UnitVisID Alliance","UnitVisID Alliance is the first open, member-driven industry Alliance unifying the industry to ensure the interoperability, performance, and reliability of RFID technology in healthcare to elevate patient safety. 

The Alliance brings together leading companies in the pharmaceutical ecosystem to alleviate pain points in healthcare workflows, supporting RFID adoption and open identification tag data. Our guideline integrates existing industry standards and technological advancements, assuring consistent quality and interoperability of RFID-tagged medications from manufacturing to patient. Learn about our mission and the benefits of membership at www.unitvisid.com.","Hospitals and Health Care","2-10 employees","Non Profit","San Ramon, California","United States","untivisid.com","https://www.linkedin.com/company/untivisid"
,"Payer Compass, part of Zelis","As a recipient of Inc. 5000's fastest-growing private companies in America for the past three consecutive years, Payer Compass confidently navigates a successful path in the ever-changing healthcare landscape with innovative service offerings that empower the self-insured and bridge the gap between payer and provider. 

As trailblazers of reimbursement solutions, we offer comprehensive Reference-Based Pricing programs; Bundled Payments; deep data and analytics reporting; proactive Patient Advocacy; compassionate, URAC-accredited Care Management services; and the highest caliber of plan document harmonization and balance bill avoidance strategy in conjunction with our close partnership with The Phia Group. We humbly serve a wide-range of markets: Third-Party Administrators, Self-insured employers, Brokers, Stop-loss carriers, Health plans, Medicare Advantage plans, Medicare HMOs, Medicaid HMOs, Reference-Based Pricing plans, Commercial payers, Commercial PPOs and healthcare networks, Tribal plans (Indian Health Services), Public entities (school districts, unions, prison systems, etc.), Coop plans, Hospitals, Provider groups, and Claim auditors.

Payer Compass, founded in April 2013, has over 100 years of aggregated healthcare experience across its leadership team. We are headquartered in Dallas, TX, with a second location in Tampa, FL. Our programs and services span across the U.S. Gain more insight about our programs and service offerings, or connect with us directly at www.payercompass.com","Hospitals and Health Care","51-200 employees","Privately Held","Plano, Texas","United States","payercompass.com","https://www.linkedin.com/company/payercompass"
,"Chief Healthcare Executive","Chief Healthcare Executive is the pre-eminent multimedia resource for C-Suite and procurement decision makers spanning a variety of systems of care focused on efficiency, patient outcomes and profitability. 

Focused on education through real-world implementation and case study, CHE is committed to sharing best practices, cutting edge solutions and innovative thinking through our network of industry leaders in the commercial, hospital, health system and organized customer verticals.","Book and Periodical Publishing","2-10 employees","Privately Held","Cranbury, New Jersey","United States","chiefhealthcareexecutive.com","https://www.linkedin.com/company/chiefhealthcareexecutive"
,"Amptify","Amptify is a full-stack hearing healthcare platform that offers an ecosystem of solutions built to improve the provider and patient experience through digital-first care.

With its technology platform, Amptify engages in the provision and facilitation of hearing healthcare products and services via mobile devices, the internet, video and phone. Founded by a world-renowned aural rehabilitation research team as a university spin-off from the Audiovisual Speech Perception Laboratory at the Washington University in St. Louis School of Medicine, Amptify is a global leader in comprehensive hearing healthcare, offering technology to connect, expertise clients and patients can trust, and the power to improve hearing healthcare for all.","Hospitals and Health Care","2-10 employees","Privately Held","St Louis, Missouri","United States","amptify.com","https://www.linkedin.com/company/amptify"
,"Beam","Beam makes it easy for contractors to send invoices and pay bills online with speed and accuracy—without the paperwork, spreadsheets, and hours of manual data entry.

Our mission is to accelerate the development of housing and infrastructure.","Software Development","2-10 employees","Privately Held","San Francisco, California","United States","trybeam.com","https://www.linkedin.com/company/usebeam"
,"MedCraft Healthcare Real Estate","MedCraft is a national leader in the development, financing, and management of ambulatory care and medical office buildings. Healthcare is our priority. And that focus shows in the way we consistently help health systems and physicians achieve sustainable and measurable results with each project we develop.

Having successfully completed over 125+ projects totaling over $7 billion in our 40+ year history, the dedicated team at MedCraft has the skills and experience to successfully develop projects of all sizes and complexity.","Real Estate","11-50 employees","Privately Held","Minneapolis, MN","United States","medcraft.com","https://www.linkedin.com/company/medcraft"
,"CareDash","CareDash is one the world's leading providers of doctor, dentist, therapist, and hospital reviews. We are redefining the healthcare review industry as an online resource offering comprehensive, transparent information about physicians and hospitals. CareDash empowers all patients — regardless of their socio-economic status — to find trusted healthcare providers through an easy-to-use, 100% honest review website focused on hospital and provider experience, quality and satisfaction.

Our company was launched in 2016, after we noticed two troubling trends: healthcare provider review sites tended to cater to and attract patients of a higher socioeconomic status and many existing sites accepted financial compensation in exchange for removal of negative reviews.

Driven by a commitment to address these problems, we set out to make CareDash the most reliable and informative healthcare provider review site of its kind.

CareDash is here to ensure that you, the patient, feel informed and confident making important decisions about your health. In addition to useful provider information and unfiltered reviews, we present complex healthcare information and data in a comprehensive and easy-to-understand manner. As you navigate potentially complicated healthcare decisions, we promise to be a trustworthy resource every step of the way.

Trusted Reviews. Trusted Care.","Wellness and Fitness Services","11-50 employees","Privately Held","Cambridge, Massachusetts","United States",,"https://www.linkedin.com/company/caredash"
,"RAVSoft Solutions India (Pvt.) Ltd.","RAVSoft Solutions develops and provides high quality software solutions and applications to healthcare professionals and companies especially radiologists, hospital administrators and medical equipment manufacturers.
The company provides custom-made solutions based on Digital Imaging and Communication in Medicine (DICOM) and Health Level Seven (HL7) standards - that are widely used across the medical profession and healthcare services to enable interoperability.
RAVSoftSolutions is also involved in providing training and consulting for companies that need the right expertise and know-how for solving problems related to DICOM and HL7.","IT Services and IT Consulting","51-200 employees","Privately Held","Fulton, MD","United States","ravsoftsolutions.com","https://www.linkedin.com/company/ravsoft-solutions-india-pvt.-ltd."
,"Fairfax Software","Fairfax Imaging's award winning Quick Modules software optimizes processing workflows by electronically identifying, capturing, validating, and updating critical information our clients receive whether electronic or paper form. The system processes virtually any document within a common workflow improving efficiencies and achieving a high return on investment. All provided by a single source known for its commitment to quality and high service delivery.","Software Development","51-200 employees","Privately Held","Tampa, Florida","United States","fairfaxsoftware.com","https://www.linkedin.com/company/fairfaxsoftware"
,"Cloudbreak Health, LLC","For over 20 years, we have empowered underserved communities with Martti, the pioneer in video remote interpreting. We continue to innovate masterful, elegant solutions in language access and healthcare.","Hospitals and Health Care","51-200 employees","Privately Held","Columbus, Ohio","United States","cloudbreak.health","https://www.linkedin.com/company/cloudbreak-health-llc"
,"Imaging Heartbeat","Imaging Heartbeat has created a set of tools to actively monitor all of your enterprise imaging systems from modalities through the universal viewer to instantly notify the team of an issue.  Don't let your physicians be the first ones to know of a problem or slow-down!  Our tools were developed for imaging teams by an imaging team responsible for maintaining one of the largest VNA's in America.
We can reduce downtimes, identify configuration problems, verify DR systems, dashboard your systems and more!","Hospitals and Health Care","2-10 employees","Privately Held","Dallas, Texas","United States","imagingheartbeat.com","https://www.linkedin.com/company/imagingheartbeat"
,"Simbie AI","Simbie AI is your ideal, clinically intelligent and trained, call center, receptionist and medical assistant all in one.","Software Development","2-10 employees","Privately Held","New York, NY","United States","simbie.ai","https://www.linkedin.com/company/heysimbie"
,"Patient Experience Institute","Patient Experience Institute (PXI) is an independent, non-profit, committed to the improvement of patient experience through evidence-based research, continuing education and professional certification.","Hospitals and Health Care","2-10 employees","Non Profit","Nashville, TN","United States","pxinstitute.org","https://www.linkedin.com/company/patient-experience-institute"
,"CGFNS International, Inc.","CGFNS International is an immigration neutral nonprofit organization that helps foreign educated healthcare professionals live and work in their country of choice by assessing and validating their academic and professional credentials.

We provide foreign students and healthcare professionals with a comprehensive assessment of their academic records to facilitate their successful admission to schools in the US and other countries.

We help protect migrating healthcare professionals by advocating for ethical recruitment practices and continuously monitoring the global landscape for developing trends in employment recruitment and workplace norms.

CGFNS International is an NGO in Consultative Status with the United Nations Economic and Social Council (ECOSOC), which serves as the central forum for international and social issues.","Education Administration Programs","201-500 employees","Non Profit","Philadelphia, PA","United States","cgfns.org","https://www.linkedin.com/company/cgfns-international-inc"
,"Mazik Global, a Quisitive Company","Mazik Global, a Quisitive company, is an IT solution development and implementation company in healthcare, manufacturing, IoT, and education. Our customer-centered CRM and ERP solutions help businesses reduce costs, collaborate better, improve efficiency, and bolster customer relationships. As a key development partner of Microsoft in building Dynamics 365, our team has industry experience that helps us deliver faster, with more comprehensive products than the competition. Ask us how we can help your business grow.","Software Development","201-500 employees","Privately Held","Park Ridge, Illinois","United States","mazikglobal.com","https://www.linkedin.com/company/mazik-global"
,"Coordinated Regional Care","We are an IPA of over 400 physicians, with a focus on changing the way care is delivered, through building networks that lead with quality, and payor relationships which are the most innovative in the country. 
Our healthcare team works to ensure that people receive the right primary, specialty and follow-up care—when they really need it—in the most appropriate clinical setting, whether that’s a physician’s office, an outpatient clinic, a hospital or even a patient’s home. When people do require hospitalization, their care is coordinated throughout their stay and beyond—from admission to discharge to home and back to the primary care physician—so all they need to do is focus on getting better.","Hospitals and Health Care","51-200 employees","Privately Held","Johnston, Rhode Island","United States","pmh.com","https://www.linkedin.com/company/coordinated-regional-care"
,"Echo Imaging Solutions","Echocardiography Education
Lessons, Cases, & More
Join The Echo Journal","Hospitals and Health Care","2-10 employees","Privately Held","South Portland, Maine","United States","theechojournal.net","https://www.linkedin.com/company/echo-imaging-solutions"
,"Flare Health","In an environment where physicians’ awareness of their colleagues is lower than ever, we build tools that empower physicians to broaden their network and make better referrals. Our mobile and web-based software helps doctors discover their colleagues, communicate effortlessly to build relationships, and share these relationships with patients and with each other.

We are committed to understanding the evolving work of doctors in this extraordinary era. Our mission is to build products that empower clinicians, because connected and engaged medical professionals are central to the health care system we all want.","Hospitals and Health Care","2-10 employees","Privately Held","Chicago, Illinois","United States","flarehealth.com","https://www.linkedin.com/company/flarehealth"
,"RadMD","RadMD is the global leader in providing medical imaging expertise for clinical trials.  Founded by Drs. Richard Patt and Kohkan Shamsi, both radiologists, who each bring over 20 years of pharmaceutical clinical development, regulatory, and imaging experience. 
 
RadMD’s expertise is focused on developing clinico-regulatory compliant strategies to implement imaging efficacy and safety endpoints in trials from Phase 1 (e.g. improving go/no-go decision making) through Phase 4 (e.g. imaging-enabled  registries).  We are the only company that offers category 1 ACCME-certified web based training and testing on imaging efficacy criteria (i.e., RECIST, Cheson, PAMRIS, etc.), conducted through the Blinded Reader and Investigator Training Institute (BRITI), for site investigators and sponsor/CRO personnel.  Logistics, training, and performance management are included in RadMD’s services when using our more than 600 trained and certified independent image and clinical reviewers.  Our experts include radiologists, oncologists, cardiologists, pathologists, gastroenterologists, dermatologists, and other specialized physicians.","Pharmaceutical Manufacturing","11-50 employees","Public Company","Conshohocken , PA","United States","rad-md.net","https://www.linkedin.com/company/radmd-llc-briti-llc"
,"TrackableMed","TrackableMed is a strategic partner for specialty practices, PPMs and Medical Device companies. With a service model rooted in behavioral science, our team has a proven track record for acquiring patients and booking new cases nearly twice as fast and at a higher return than the competition—resulting in predictable, trackable growth for our medical industry clients. 
Clients have achieved outcomes such as:
 • Doubling the size of their practice in patient volume
 • Over $500,000/month in procedure reimbursement revenue for  an ENT practice
 • Expanding their business model to a national level

We help you avoid the frustration of lost advertising dollars by transforming your marketing into a scalable model that improves results for both patients and your company. To learn more about our services, or to book a consultation with our team, visit TrackableMed.com.","Advertising Services","11-50 employees","Privately Held","Covington, LA","United States","trackablemed.com","https://www.linkedin.com/company/trackable-med"
,"Aumet","Aumet is dedicated to providing tailored solutions that enhances the performance of healthcare providers, operating in Saudi Arabia, Jordan, Egypt and Oman

It is a Saudi company that was Originally established in the United States, Aumet is now the largest B2B healthcare solution provider that supports companies with their business decisions and performance. 

Aumet facilitates the exchange of data between healthcare providers, manufacturers, and distributors to enable them to take the right decision.","Hospitals and Health Care","51-200 employees","Privately Held","Mountain View, California","United States","aumet.com","https://www.linkedin.com/company/aumet-inc"
,"Vibe AI","Vibe Shopping is building the building the AI Shopping Search Engine for the Video-First World - Powered by Multimodel LLMs.","Technology, Information and Internet","2-10 employees","Privately Held","San Francisco, California","United States","vibeaishop.com","https://www.linkedin.com/company/vibe-shopping"
,"Design Manager","Design Manager is your first and only stop as an interior designer if you are serious about running a successful design business. With over 35 years of creating software just for designers, we have the experience to give you the time saving features you need. Design Manager’s cloud-based project management and accounting tools are easy to use for designers, bookkeepers and accountants. Put an end to vendor mistakes and client confusion with our standardized design flow. #interiordesign #interiordesignsoftware","Software Development","11-50 employees","Privately Held","New York, NY","United States","designmanager.com","https://www.linkedin.com/company/design-manager-inc-"
,"Adelphi Medical Staffing, LLC","Adelphi was founded by a physician with years of experience, working with multiple health care providers, and who understands the unique challenges and rewards of being a healthcare professional in today’s health industry.  Adelphi is dedicated to helping providers get access to qualified healthcare professionals to meet their coverage needs in delivery of healthcare services.  We help physicians, nurse practitioners to find the placement that is right for them.  Contact us at 844.308.0454 or visit us at  www.adelphimedicalstaffing.com","Staffing and Recruiting","11-50 employees","Privately Held","Kennesaw, GA","United States","adelphimedicalstaffing.com","https://www.linkedin.com/company/adelphi-medical-staffing-llc"
,"Mazik Global Inc.","Mazik Global, a Quisitive company, is an IT solution development and implementation company in healthcare, manufacturing, IoT, and education. Our customer-centered CRM and ERP solutions help businesses reduce costs, collaborate better, improve efficiency, and bolster customer relationships. As a key development partner of Microsoft in building Dynamics 365, our team has industry experience that helps us deliver faster, with more comprehensive products than the competition. Ask us how we can help your business grow.","Software Development","201-500 employees","Privately Held","Park Ridge, Illinois","United States","mazikglobal.com","https://www.linkedin.com/company/mazikglobal"
,"PRO-TECH Design & Manufacturing, Inc.","PRO-TECH Design and Manufacturing is a full service FDA and ISO Registered contract manufacturer and packager; primarily serving the medical industry.  PRO-TECH has been providing unequaled quality, value, reliability and customer service since 1980.","Medical Equipment Manufacturing","201-500 employees","Privately Held","Santa Fe Springs, CA","United States","protechdesign.com","https://www.linkedin.com/company/protechdesign"
,"Scheduler AI","Looking to connect quickly and seamlessly with prospects, clients, partners, and teams?

Scheduler AI is an AI appointment setter that instantly books your meetings and safeguard your show rates. 

Scheduler integrates directly into your CRM, webforms, and chats to coordinate meeting times in seconds. 

Scheduler monitors your meetings to send curated reminders, to reschedule instantly, and to handle declines. 

All so that you can spend less time scheduling and more time growing your business.","Software Development","2-10 employees","Partnership","Cincinnati, OH","United States","scheduler.ai","https://www.linkedin.com/company/schedulerai"
